pp,Age,Valence,vidrep,mean_accuracy,mean_z_score,mean_rt
EPI_Y_123,Age: young,Neutral,Video repetition: 1,0.8571428571428571,-0.04768596740160445,1.41285
EPI_Y_123,Age: young,Neutral,Video repetition: 2,0.75,-0.8413405524117759,1.0988666666666669
EPI_Y_123,Age: young,Neutral,Video repetition: 3,0.3333333333333333,-1.1977878927043104,0.95785
EPI_Y_123,Age: young,Negative,Video repetition: 1,0.5,0.8653180225310055,1.77405
EPI_Y_123,Age: young,Negative,Video repetition: 2,0.8571428571428571,-0.0524885908259454,1.41095
EPI_Y_123,Age: young,Negative,Video repetition: 3,0.9230769230769232,0.22185074022061943,1.5194833333333333
EPI_Y_123,Age: young,Positive,Video repetition: 1,0.6666666666666666,-0.16964732541447375,1.3646
EPI_Y_123,Age: young,Positive,Video repetition: 2,0.6153846153846154,-0.02721162543467711,1.42095
EPI_Y_123,Age: young,Positive,Video repetition: 3,0.6,0.7700659912815759,1.7363666666666666
EPI_Y_M001,Age: young,Neutral,Video repetition: 1,0.8888888888888888,-0.5658143221205907,1.878525
EPI_Y_M001,Age: young,Neutral,Video repetition: 2,0.8571428571428571,-0.0363486979869209,2.083216666666667
EPI_Y_M001,Age: young,Neutral,Video repetition: 3,0.75,-0.16525007128494437,2.033383333333333
EPI_Y_M001,Age: young,Negative,Video repetition: 1,0.5,0.675247237776233,2.35832
EPI_Y_M001,Age: young,Negative,Video repetition: 2,1,0.4109433784399386,2.2561400000000003
EPI_Y_M001,Age: young,Negative,Video repetition: 3,0.5555555555555556,0.4392930584000655,2.2671
EPI_Y_M001,Age: young,Positive,Video repetition: 1,0.6,-0.8467029166768684,1.7699333333333334
EPI_Y_M001,Age: young,Positive,Video repetition: 2,0.9166666666666666,-0.02625684525835869,2.087118181818182
EPI_Y_M001,Age: young,Positive,Video repetition: 3,0.8571428571428571,0.15627047789788423,2.1576833333333334
EPI_Y_M003,Age: young,Neutral,Video repetition: 1,0.7142857142857143,-0.5227065957152268,2.86096
EPI_Y_M003,Age: young,Neutral,Video repetition: 2,0.7777777777777778,-0.10383940341500324,3.210042857142857
EPI_Y_M003,Age: young,Neutral,Video repetition: 3,0.875,0.46584246781105143,3.684814285714286
EPI_Y_M003,Age: young,Negative,Video repetition: 1,0.7272727272727273,-1.0149807100031274,2.4507
EPI_Y_M003,Age: young,Negative,Video repetition: 2,0.6666666666666666,-0.1448076790432837,3.1759
EPI_Y_M003,Age: young,Negative,Video repetition: 3,0.7142857142857143,0.9462443529357109,4.08518
EPI_Y_M003,Age: young,Positive,Video repetition: 1,0.6666666666666666,-0.5074497698897243,2.873675
EPI_Y_M003,Age: young,Positive,Video repetition: 2,0.4444444444444444,-0.6482589331317784,2.756325
EPI_Y_M003,Age: young,Positive,Video repetition: 3,0.875,0.9679266842504438,4.10325
EPI_Y_M004,Age: young,Neutral,Video repetition: 1,0.5,-0.7408842135428592,2.0341666666666667
EPI_Y_M004,Age: young,Neutral,Video repetition: 2,0.8333333333333334,-0.5869772138839787,2.1414
EPI_Y_M004,Age: young,Neutral,Video repetition: 3,0.6666666666666666,-0.12064546355759356,2.4663125
EPI_Y_M004,Age: young,Negative,Video repetition: 1,0.6666666666666666,-0.4963768468948568,2.204525
EPI_Y_M004,Age: young,Negative,Video repetition: 2,0.8571428571428571,0.3546925014675123,2.7975
EPI_Y_M004,Age: young,Negative,Video repetition: 3,0.6,1.4802181694733638,3.5817
EPI_Y_M004,Age: young,Positive,Video repetition: 1,0.8333333333333334,-0.1863693020581776,2.42052
EPI_Y_M004,Age: young,Positive,Video repetition: 2,0.7272727272727273,0.5540133088435805,2.936375
EPI_Y_M004,Age: young,Positive,Video repetition: 3,0.8571428571428571,0.00410795266419332,2.5532333333333335
EPI_Y_M007,Age: young,Neutral,Video repetition: 1,0.5,-0.0378776473622569,2.814625
EPI_Y_M007,Age: young,Neutral,Video repetition: 2,0.42857142857142855,-0.284255594846471,2.6003333333333334
EPI_Y_M007,Age: young,Neutral,Video repetition: 3,0.7777777777777778,-0.7117313596667805,2.2285285714285714
EPI_Y_M007,Age: young,Negative,Video repetition: 1,0.5,-0.30183882678203494,2.58504
EPI_Y_M007,Age: young,Negative,Video repetition: 2,0.7,0.38724801087306654,3.1843857142857144
EPI_Y_M007,Age: young,Negative,Video repetition: 3,0.6666666666666666,-0.7160757034645355,2.22475
EPI_Y_M007,Age: young,Positive,Video repetition: 1,0.8333333333333334,0.15842181457225896,2.98536
EPI_Y_M007,Age: young,Positive,Video repetition: 2,0.42857142857142855,0.22277613686127185,3.0413333333333332
EPI_Y_M007,Age: young,Positive,Video repetition: 3,0.5454545454545454,0.3536731043327606,3.1551833333333335
EPI_Y_M010,Age: young,Neutral,Video repetition: 1,0.8333333333333334,-0.4257868223400773,1.5819
EPI_Y_M010,Age: young,Neutral,Video repetition: 2,1,-0.233295340819455,1.6766333333333334
