participant,group,OS,fovealword,parafovealword,fovealcolour,parafovealcolour,correctcolour,parafovealpositionword,congruency,condition,block,gender,age,handedness,trial,rt,acc
15286,A,MacIntel,RED,SIDE,green,black,green,left,incongruent,foveal_unified,1,male,20,right-handed,1,0.2627,1
15286,A,MacIntel,SHORT,YELLOW,black,green,green,left,incongruent,para_unified,1,male,20,right-handed,2,0.37979,0
15286,A,MacIntel,BLUE,SIDE,blue,black,blue,left,congruent,foveal_unified,1,male,20,right-handed,3,0.297785,0
15286,A,MacIntel,SHORT,GREEN,green,black,green,left,congruent,fov_dis,1,male,20,right-handed,4,0.2953,1
15286,A,MacIntel,SHORT,BLUE,black,green,green,right,incongruent,para_unified,1,male,20,right-handed,5,0.30047,1
15286,A,MacIntel,GREEN,LABEL,blue,black,blue,left,incongruent,foveal_unified,1,male,20,right-handed,6,0.295635,1
15286,A,MacIntel,GREEN,SHORT,black,green,green,left,congruent,para_dis,1,male,20,right-handed,7,0.431905,0
15286,A,MacIntel,SIDE,RED,blue,black,blue,left,incongruent,fov_dis,1,male,20,right-handed,8,0.345815,0
15286,A,MacIntel,MAIN,BLUE,black,red,red,left,incongruent,para_unified,1,male,20,right-handed,9,0.399475,1
15286,A,MacIntel,RED,SHORT,red,black,red,right,congruent,foveal_unified,1,male,20,right-handed,10,0.330075,1
15286,A,MacIntel,RED,SHORT,black,red,red,right,congruent,para_dis,1,male,20,right-handed,11,0.283685,1
15286,A,MacIntel,SHORT,RED,black,red,red,right,congruent,para_unified,1,male,20,right-handed,12,0.26599,1
15286,A,MacIntel,MAIN,RED,black,red,red,left,congruent,para_unified,1,male,20,right-handed,13,0.35053,1
15286,A,MacIntel,GREEN,SIDE,green,black,green,right,congruent,foveal_unified,1,male,20,right-handed,14,0.297315,1
15286,A,MacIntel,SIDE,BLUE,black,blue,blue,left,congruent,para_unified,1,male,20,right-handed,15,0.651935,1
15286,A,MacIntel,YELLOW,SIDE,black,green,green,right,incongruent,para_dis,1,male,20,right-handed,16,0.38193,1
15286,A,MacIntel,GREEN,MAIN,yellow,black,yellow,right,incongruent,foveal_unified,1,male,20,right-handed,17,0.32379,1
15286,A,MacIntel,LABEL,BLUE,blue,black,blue,right,congruent,fov_dis,1,male,20,right-handed,18,0.403055,1
15286,A,MacIntel,YELLOW,MAIN,yellow,black,yellow,right,congruent,foveal_unified,1,male,20,right-handed,19,0.337585,1
15286,A,MacIntel,LABEL,BLUE,black,blue,blue,right,congruent,para_unified,1,male,20,right-handed,20,0.31267,0
15286,A,MacIntel,GREEN,SIDE,black,green,green,right,congruent,para_dis,1,male,20,right-handed,21,0.24811,1
15286,A,MacIntel,SIDE,GREEN,green,black,green,right,congruent,fov_dis,1,male,20,right-handed,22,0.279285,1
15286,A,MacIntel,MAIN,RED,red,black,red,left,congruent,fov_dis,1,male,20,right-handed,23,0.24415,1
15286,A,MacIntel,SHORT,BLUE,green,black,green,right,incongruent,fov_dis,1,male,20,right-handed,24,0.24944,0
15286,A,MacIntel,RED,SIDE,black,green,green,left,incongruent,para_dis,1,male,20,right-handed,25,0.559845,1
15286,A,MacIntel,YELLOW,LABEL,black,yellow,yellow,left,congruent,para_dis,1,male,20,right-handed,26,0.314735,0
15286,A,MacIntel,YELLOW,LABEL,yellow,black,yellow,left,congruent,foveal_unified,1,male,20,right-handed,27,0.26749,1
15286,A,MacIntel,RED,LABEL,blue,black,blue,right,incongruent,foveal_unified,1,male,20,right-handed,28,0.43311,1
15286,A,MacIntel,LABEL,RED,black,yellow,yellow,right,incongruent,para_unified,1,male,20,right-handed,29,0.393525,0
15286,A,MacIntel,SIDE,RED,black,blue,blue,left,incongruent,para_unified,1,male,20,right-handed,30,0.46992,1
15286,A,MacIntel,RED,MAIN,red,black,red,left,congruent,foveal_unified,1,male,20,right-handed,31,0.36577,1
15286,A,MacIntel,LABEL,YELLOW,yellow,black,yellow,left,congruent,fov_dis,1,male,20,right-handed,32,0.29854,1
15286,A,MacIntel,GREEN,MAIN,black,yellow,yellow,right,incongruent,para_dis,1,male,20,right-handed,33,0.365815,1
15286,A,MacIntel,SIDE,YELLOW,blue,black,blue,right,incongruent,fov_dis,1,male,20,right-handed,34,0.35978,1
15286,A,MacIntel,GREEN,SHORT,green,black,green,left,congruent,foveal_unified,1,male,20,right-handed,35,0.38269,1
15286,A,MacIntel,BLUE,SHORT,red,black,red,right,incongruent,foveal_unified,1,male,20,right-handed,36,0.52514,1
15286,A,MacIntel,YELLOW,SIDE,green,black,green,right,incongruent,foveal_unified,1,male,20,right-handed,37,0.33842,1
15286,A,MacIntel,SIDE,BLUE,blue,black,blue,left,congruent,fov_dis,1,male,20,right-handed,38,0.39521,1
15286,A,MacIntel,GREEN,LABEL,black,blue,blue,left,incongruent,para_dis,1,male,20,right-handed,39,0.326725,1
15286,A,MacIntel,BLUE,LABEL,blue,black,blue,right,congruent,foveal_unified,1,male,20,right-handed,40,0.47817,1
15286,A,MacIntel,LABEL,YELLOW,black,yellow,yellow,left,congruent,para_unified,1,male,20,right-handed,41,0.284795,1
15286,A,MacIntel,SHORT,GREEN,black,green,green,left,congruent,para_unified,1,male,20,right-handed,42,0.282505,1
15286,A,MacIntel,YELLOW,SHORT,black,red,red,left,incongruent,para_dis,1,male,20,right-handed,43,0.286395,1
15286,A,MacIntel,RED,MAIN,black,red,red,left,congruent,para_dis,1,male,20,right-handed,44,0.270945,1
15286,A,MacIntel,YELLOW,MAIN,black,yellow,yellow,right,congruent,para_dis,1,male,20,right-handed,45,0.28363,1
15286,A,MacIntel,BLUE,MAIN,black,yellow,yellow,left,incongruent,para_dis,1,male,20,right-handed,46,0.247815,1
15286,A,MacIntel,BLUE,MAIN,yellow,black,yellow,left,incongruent,foveal_unified,1,male,20,right-handed,47,0.3716,1
15286,A,MacIntel,LABEL,RED,yellow,black,yellow,right,incongruent,fov_dis,1,male,20,right-handed,48,0.261415,1
15286,A,MacIntel,MAIN,GREEN,red,black,red,right,incongruent,fov_dis,1,male,20,right-handed,49,0.26449,1
15286,A,MacIntel,SHORT,RED,red,black,red,right,congruent,fov_dis,1,male,20,right-handed,50,0.31015,1
15286,A,MacIntel,RED,LABEL,black,blue,blue,right,incongruent,para_dis,1,male,20,right-handed,51,0.45624,1
15286,A,MacIntel,MAIN,YELLOW,black,yellow,yellow,right,congruent,para_unified,1,male,20,right-handed,52,0.350435,1
15286,A,MacIntel,SHORT,YELLOW,green,black,green,left,incongruent,fov_dis,1,male,20,right-handed,53,0.246065,1
15286,A,MacIntel,SIDE,GREEN,black,green,green,right,congruent,para_unified,1,male,20,right-handed,54,0.24075,1
15286,A,MacIntel,YELLOW,SHORT,red,black,red,left,incongruent,foveal_unified,1,male,20,right-handed,55,0.36652,1
15286,A,MacIntel,MAIN,BLUE,red,black,red,left,incongruent,fov_dis,1,male,20,right-handed,56,0.26822,1
15286,A,MacIntel,BLUE,SHORT,black,red,red,right,incongruent,para_dis,1,male,20,right-handed,57,0.2801,1
15286,A,MacIntel,LABEL,GREEN,black,yellow,yellow,left,incongruent,para_unified,1,male,20,right-handed,58,0.310395,1
15286,A,MacIntel,MAIN,GREEN,black,red,red,right,incongruent,para_unified,1,male,20,right-handed,59,0.24487,1
15286,A,MacIntel,LABEL,GREEN,yellow,black,yellow,left,incongruent,fov_dis,1,male,20,right-handed,60,0.201475,1
15286,A,MacIntel,SIDE,YELLOW,black,blue,blue,right,incongruent,para_unified,1,male,20,right-handed,61,0.40469,1
15286,A,MacIntel,BLUE,SIDE,black,blue,blue,left,congruent,para_dis,1,male,20,right-handed,62,0.346885,1
15286,A,MacIntel,MAIN,YELLOW,yellow,black,yellow,right,congruent,fov_dis,1,male,20,right-handed,63,0.39954,1
15286,A,MacIntel,BLUE,LABEL,black,blue,blue,right,congruent,para_dis,1,male,20,right-handed,64,0.385495,1
15286,A,MacIntel,YELLOW,SHORT,yellow,black,yellow,right,congruent,foveal_unified,2,male,20,right-handed,1,0.432585,1
15286,A,MacIntel,SHORT,YELLOW,yellow,black,yellow,right,congruent,fov_dis,2,male,20,right-handed,2,0.26535,1
15286,A,MacIntel,YELLOW,LABEL,black,red,red,right,incongruent,para_dis,2,male,20,right-handed,3,0.38524,1
15286,A,MacIntel,LABEL,GREEN,black,green,green,right,congruent,para_unified,2,male,20,right-handed,4,0.3017,0
15286,A,MacIntel,SIDE,GREEN,green,black,green,left,congruent,fov_dis,2,male,20,right-handed,5,0.292905,1
15286,A,MacIntel,RED,LABEL,yellow,black,yellow,left,incongruent,foveal_unified,2,male,20,right-handed,6,0.333575,1
15286,A,MacIntel,GREEN,SIDE,black,green,green,left,congruent,para_dis,2,male,20,right-handed,7,0.49885,1
15286,A,MacIntel,GREEN,LABEL,black,green,green,right,congruent,para_dis,2,male,20,right-handed,8,0.390115,1
15286,A,MacIntel,LABEL,YELLOW,green,black,green,right,incongruent,fov_dis,2,male,20,right-handed,9,0.376175,1
15286,A,MacIntel,BLUE,LABEL,black,blue,blue,left,congruent,para_dis,2,male,20,right-handed,10,0.332465,1
15286,A,MacIntel,LABEL,BLUE,black,blue,blue,left,congruent,para_unified,2,male,20,right-handed,11,0.24818,1
15286,A,MacIntel,RED,SHORT,red,black,red,left,congruent,foveal_unified,2,male,20,right-handed,12,0.284125,0
